,users_id,users_name,users_last_name,users_last_name_2,users_initial,users_years,users_gender,users_sector,users_ccaa,users_prov,users_prox,users_phone,users_mail,users_lang,users_lgtb,users_family,users_relig,users_politic,users_vegan,users_pets,users_smoke,users_env,users_range,users_budget,users_sqr_m,users_bath,users_outs,users_facil,users_drive,users_max_p,accion,activo,ajedrez,alegre,alternativa,amable,animales,antiguedades,apasionado,arte,artesanias,astrologia,astronomia,atento,aventura,aventurero,aves,badminton,bailarin,baile,baloncesto,beatboxing,beisbol,belico,bingo,biologia,blogging,blues,bolero,bolillo,bolos,bordado,boxeo,bricolage,buceo,calmado,cantante,canto,carpinteria,cartas,casino,caza,ceramica,cerveza,ciclismo,cienciaficcion,cine,cinefilo,clasica,cocina,colaborador,comedia,comics,comprador,conciertos,copla,corazon,correr,cosplay,costura,creativo,crimen,croche,crossfit,crucigramas,cultura,dardos,decidido,deportista,dibujo,disfraces,divertido,documental,drama,electronica,empatico,emprendedor,entustiasta,escritura,esqui,excursionismo,excursionista,familiar,fantasia,fiestero,filatelia,filologia,fisica,flamenco,flexible,folk,foodie,fotografia,fotografo,fronton,fumadores,futbol,gamer,ganchillo,gastronomia,generoso,gimnasio,golf,gospel,gracioso,hipica,historia,historica,hogar,honesto,iglesia,india,instrumental,instrumentos,jardineria,jazz,latina,libros,literatura,lounge,macrame,madrugador,magia,manualidades,matematicas,meditacion,mediterranea,mesa,metal,mexicana,misterio,moda,modelismo,montanismo,motociclismo,museos,musica,musical,natacion,negro,nocturno,numismatica,opera,optimista,ordenado,oriental,pachangueo,padel,pesca,petanca,pintura,piraguismo,playa,poesia,poker,politica,practico,proactivo,punk,puntocruz,quimica,rb,reciclaje,reggae,relajado,remo,reposteria,robotica,rock,rol,romantica,rompecabezas,saludable,sensato,sociable,socializar,soul,suspense,tarot,teatro,tecnologia,tejido,telenovelas,tenis,tenismesa,terror,trabajo,tratofacil,turismo,vegano,vegetariano,viajar,viajero,videojuegos,vino,vivo,voluntariado,western,yeye,yoga,zarzuela,zoologia
0,1,Luigi,Etzler,,L. E.,60,hombre,derecho,Castilla y León,Burgos,todo el país,+34737331616,luigi_etzler@gmail.com,Deutsche,acepto,Individual,no acepto,no acepto,Vegetariano,no acepto,acepto,interior,50-60,400,50,privado,['terraza' 'piscina' 'jardin'],['futbolin' 'pingpong' 'gimnasio' 'golf' 'huerto'],True,<6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,3,0,0,0,0,2,0,0,5,0,0,0,5,2,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0
1,2,Ibán,Pedrero,Zurita,I. P.,66,hombre,investigaciontecnica,Extremadura,Cáceres,todo el país,+34885561149,ibán_pedrero@gmail.com,Euskara,no acepto,Individual,no acepto,acepto,Común,acepto,acepto,montaña,70-80,900,350,compartido,['jardin'],['billar' 'zonasverdes' 'gimnasio' 'pingpong' 'piscina' 'cocina'],False,<3,5,0,5,5,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,0,0,2,0,0,1,5,2,3,0,0,0,0,1,4,4,0,0,0,0,0,0,0,5,0,4,1,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,2,5,0,3,1,0,0,4,0,0,0,3,2,3,3,0,3,0,0,0,0,0,1,0,1,4,0,0,0,0,5,0,0,1,5,0,0,0,0,3,0,0,0,2,0,0,4,0,0,0,5,5,4,0,0,5,0,0,0,0,0,4,4,0,3,5,0,0,0,5,4,1,0,2,0,0,0,0,0,1,3,2,0,0,5,2,0,0,0,0,0,0,0,1,0,0,4,2,0,5,0,1,0,0,0,0,0,0,3,0,0,1,2,0,0,0,2,0,0,3,0,0,5,5,0,0
2,3,Arlet,Ortuño,Rivera,A. O.,60,mujer,amacasa,Castilla y León,Segovia,misma comunidad,+34639150356,arlet_ortuño@hotmail.fr,Català,no acepto,Familia,no acepto,acepto,Común,no acepto,no acepto,costa,60-70,800,150,compartido,['piscina' 'jardin'],"['lavavajillas' 'salamanualidades' 'trastero' 'salacine' 'spa' 'cocina'
 'cubierta' 'esqui' 'rehabilitacion' 'recreativos' 'futbol' 'lavanderia'
 'pingpong' 'tenis' 'padel' 'billar' 'garage' 'huerto' 'gimnasio' 'buffet']",True,<6,0,3,0,0,5,0,4,0,0,0,4,0,0,0,0,0,4,0,0,4,4,0,1,4,0,1,0,0,1,3,2,3,1,0,1,0,4,0,0,0,4,0,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,1,3,0,4,0,0,5,1,0,3,0,0,0,0,0,5,3,5,0,0,0,5,1,3,0,3,0,0,0,0,0,0,1,0,0,0,1,0,3,0,4,0,1,0,0,0,0,5,0,4,0,3,0,0,0,0,0,3,3,4,0,0,0,0,0,2,0,3,2,0,0,0,1,2,0,5,5,0,0,0,0,0,2,0,0,2,0,1,0,0,0,0,2,0,0,4,0,5,0,0,1,4,0,0,3,0,0,0,0,1,0,4,4,2,5,0,2,0,0,0,3,0,0,4,0,0,0,2,0,0,3,1,4,0,0,0
3,4,Isaura,Montaña,Abellán,I. M.,62,mujer,ingenieria,Aragón,Huesca,misma provincia,+34704877473,isaura_montaña@gmail.com,Castellano,no acepto,Familia,no acepto,no acepto,Común,no acepto,no acepto,interior,50-60,700,550,privado,['jardin'],"['lavanderia' 'gimnasio' 'salacine' 'trastero' 'cocina' 'tenis' 'cubierta'
 'baloncesto' 'huerto' 'zonasverdes' 'piscina' 'golf' 'futbolin' 'billar'
 'futbol' 'barbacoa' 'salamanualidades' 'rehabilitacion' 'recreativos'
 'hipica']",True,<6,0,4,0,0,1,2,0,0,1,0,5,5,0,0,0,2,0,0,1,4,2,0,5,0,4,0,1,0,0,0,0,5,0,5,3,4,0,0,2,0,2,0,0,5,0,0,1,0,1,2,0,0,2,0,5,5,0,0,1,0,0,0,0,4,1,3,0,0,0,0,1,0,0,2,5,1,0,0,5,0,3,0,0,0,0,3,1,0,0,0,0,0,0,4,0,0,0,1,0,3,0,1,5,2,0,0,4,0,0,3,0,2,5,0,0,0,0,4,3,4,4,0,3,0,0,2,0,0,1,5,0,0,0,2,5,2,0,0,0,4,2,1,2,4,0,0,1,0,5,0,0,0,0,0,4,0,2,2,4,0,0,0,0,2,3,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,5,5,0,2,0,0,0,0,0,2,0,3,5,0
4,5,Ariadna,Paniagua,Tejada,A. P.,65,mujer,forestal,Comunidad Valenciana,Alicante,misma provincia,+34707982769,ariadna_paniagua@hotmail.de,Castellano,no acepto,Individual,no acepto,acepto,Común,no acepto,no acepto,interior,60-70,1000,50,privado,['jardin' 'terraza' 'piscina'],[],True,<3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,5,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5,5,0,0,0,0,5,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0
5,6,Constanza,Tomé,Artigas,C. T.,65,otro,forestal,Galicia,Orense,todo el país,+34621748554,constanza_tomé@yahoo.com,Euskara,acepto,Individual,no acepto,no acepto,Vegetariano,acepto,acepto,interior,60-70,500,850,compartido,['piscina' 'jardin' 'terraza'],"['billar' 'barbacoa' 'zonasverdes' 'gimnasio' 'futbolin' 'spa' 'pingpong'
 'huerto' 'tenis' 'rehabilitacion' 'baloncesto' 'garage' 'golf' 'cocina'
 'salamanualidades']",False,<6,0,2,5,0,0,2,0,0,0,0,0,0,0,3,0,5,0,0,5,0,0,0,0,5,0,0,0,0,0,4,2,0,0,0,2,0,4,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,1,5,2,0,0,2,0,0,0,0,0,0,3,0,0,0,0,2,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,1,0,0,0,0,0,4,0,0,3,3,0,0,2,0,0,0,4,0,0,0,0,2,0,0,2,5,0,1,5,5,4,0,0,0,4,5,0,0,0,0,0,3,0,0,4,1,2,0,0,0,3,4,5,0,0,2,0,0,0,0,0,0,3,1,5,0,0,0,0,0,0,0,2
6,7,Yara,Lima,Amaral,Y. L.,68,mujer,construccion,Principado de Asturias,Asturias,misma comunidad,+34743850550,yara_lima@clix.pt,Português,acepto,Grupo,acepto,acepto,Vegetariano,acepto,acepto,interior,60-70,700,450,privado,['jardin' 'piscina' 'terraza'],"['barbacoa' 'trastero' 'gimnasio' 'baloncesto' 'pingpong' 'hipica'
 'futbolin' 'garage' 'cocina' 'piscina' 'salamanualidades' 'futbol'
 'cubierta' 'lavavajillas' 'recreativos' 'tenis' 'rehabilitacion' 'billar'
 'golf' 'huerto']",True,<6,0,0,0,0,0,0,4,1,0,0,5,0,0,0,0,1,0,0,0,4,0,2,0,5,0,0,0,0,1,0,0,0,0,0,2,0,0,2,0,0,0,0,1,0,2,3,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,4,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,5,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,2,5,0,0,0,0,0,0,5,1,3,0,3,3,0,0,1,0,0,5,0,0,0,0,2,4,0,0,0,4,5,0,5,0,0,0,0,0,5,0,4,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5,5,0,2,0,0,0,5,0,1,0,0,0,0,0,0,3,3,0,0,0,5
7,8,Raúl,Benavente,Cid,R. B.,71,hombre,ingenieria,Cantabria,Cantabria,misma provincia,+34700119478,raúl_benavente@googlemail.com,Castellano,no acepto,Familia,no acepto,no acepto,Común,no acepto,acepto,montaña,60-70,600,200,privado,['no'],"['zonasverdes' 'recreativos' 'barbacoa' 'lavanderia' 'baloncesto'
 'futbolin' 'salacine' 'gimnasio']",True,<3,3,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,5,4,0,0,0,0,0,5,3,3,1,0,0,0,0,4,0,0,3,0,0,0,3,3,0,2,2,3,0,1,0,0,0,5,5,4,1,0,0,3,0,5,5,5,1,0,1,0,3,0,0,3,0,3,0,0,4,0,0,0,0,1,0,0,0,2,2,2,0,0,0,5,4,0,3,0,3,0,0,0,0,2,1,0,5,4,0,2,3,0,5,0,3,0,4,0,0,0,0,2,0,0,0,4,5,2,0,2,0,0,0,0,5,3,3,2,5,0,0,0,0,0,0,5,0,0,4,5,4,0,2,0,0,0,0,0,1,2,0,0,0,4,0,0,2,1,1,5,0,0,2,1,4,0,4,0,0,3,0,5,2,0,0,3,0,4,0,4,1,0,0,0,0,3,1,0,4,0,0,0,0,0,4,0,3,0
8,9,Sol,Baena,Pedro,S. B.,60,mujer,otro,Ciudad Autónoma de Ceuta,Ceuta,todo el país,+34623412779,sol_baena@web.de,Castellano,no acepto,Individual,no acepto,no acepto,Común,no acepto,acepto,interior,50-60,400,800,privado,['no'],['piscina'],False,+10,5,2,0,5,0,1,3,4,5,5,0,0,0,0,0,0,1,3,2,5,1,0,0,0,0,3,0,0,0,0,1,4,2,1,0,0,2,0,5,2,3,0,0,1,0,3,4,3,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,2,1,3,2,0,1,0,5,0,0,3,4,0,2,0,4,3,4,4,4,0,0,3,3,1,5,5,5,1,0,1,5,0,0,4,4,2,0,0,0,0,3,0,0,0,4,0,5,5,0,0,1,3,0,2,0,2,0,5,0,0,3,0,0,5,3,0,0,0,0,3,3,1,0,0,0,1,0,0,3,0,0,0,3,2,0,4,0,0,2,0,0,0,3,4,1,2,1,0,0,0,0,1,3,0,0,4,0,0,2,5,0,5,0,0,0,0,0,2,1,3,0,1,0,0,2,0,3,0,4,0,0,0,0,0,0,3
9,10,Mia,Leon,Montoya,M. L.,60,mujer,cine,Comunidad Valenciana,Alicante,misma comunidad,+34749131274,mia_leon@yahoo.com,Català,no acepto,Familia,no acepto,no acepto,Común,no acepto,acepto,interior,+80,400,400,compartido,['terraza' 'jardin' 'piscina'],"['barbacoa' 'buffet' 'billar' 'cocina' 'hipica' 'recreativos'
 'rehabilitacion' 'futbolin' 'padel' 'pingpong' 'baloncesto' 'huerto'
 'lavanderia' 'zonasverdes' 'trastero' 'tenis']",True,<9,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,2,5,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,5,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,2,0,0,0,0,0,3,0,0,0,0
